Decade,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms
1970,0.44,0.376,5,"-10,939",0.0482,0.348,0,0.358,"130,438",218333
1970,0.676,0.463,9,"-13,155",0.0306,0.309,0,0.91,"121,923",182133
1970,0.249,0.261,0,"-10,592",0.0334,0.962,0.00154,0.195,"90,007",158693
1970,0.663,0.822,5,"-13,119",0.059,0.199,8.69E-06,0.818,108.94,230293
1970,0.522,0.44,6,"-13,258",0.035,0.434,0,0.295,"97,475",159760
1970,0.62,0.779,0,"-10,159",0.0407,0.00454,0.86,0.96,"134,501",568827
1970,0.465,0.84,2,"-6,608",0.0489,0.327,0.00113,0.579,"129,436",236573
1970,0.831,0.967,2,"-3,207",0.0556,0.24,1.03E-06,0.966,"132,824",183320
1970,0.821,0.259,9,"-17,039",0.402,0.248,0.0162,0.737,"90,915",209853
1970,0.727,0.611,7,"-14,611",0.0372,0.125,2.98E-05,0.951,"127,357",212520
1970,0.495,0.34,9,"-14,689",0.0394,0.463,0,0.751,"149,364",171573
1970,0.604,0.357,6,"-11,419",0.0269,0.0311,0,0.638,"100,721",185293
1970,0.795,0.71,9,"-4,746",0.0392,0.443,0.0215,0.845,"109,689",288667
1970,0.699,0.725,2,"-9,315",0.18,0.0862,0.0153,0.741,"109,862",189413
1970,0.747,0.705,0,"-11,036",0.0541,0.00643,3.90E-05,0.822,"116,184",303000
1970,0.659,0.717,0,-11.55,0.0548,0.237,0.00735,0.879,"122,309",161784
1970,0.238,0.384,8,-13.17,0.0366,0.695,0,0.333,"176,981",212573
1970,0.536,0.544,8,"-7,316",0.0571,0.159,0,0.398,"123,841",250973
1970,0.838,0.89,9,"-3,561",0.0907,0.216,0.101,0.976,"140,118",242616
1970,0.493,0.586,2,"-13,916",0.046,0.0202,0.00106,0.656,"113,618",232533
1970,0.56,0.529,2,"-11,598",0.0527,0.659,8.28E-06,0.859,"168,689",179760
1970,0.749,0.752,7,-10.3,0.126,0.0108,0.0954,0.887,104.7,193573
1970,0.903,0.714,2,"-12,426",0.0431,0.0109,0.000187,0.979,"130,669",294104
1970,0.732,0.161,11,"-12,817",0.0306,0.739,0.000379,0.5,95.21,239400
1970,0.573,0.641,5,"-9,196",0.0443,0.235,0.00414,0.613,"88,862",271373
1970,0.498,0.336,11,"-13,815",0.0379,0.295,3.44E-05,0.346,"105,447",255427
1970,0.547,0.82,8,"-6,728",0.0805,0.261,0,0.933,"118,208",172867
1970,0.475,0.468,6,"-11,869",0.0427,0.229,1.83E-06,0.542,"130,239",183667
1970,0.555,0.377,1,"-11,634",0.0278,0.6,0,0.415,"75,822",153160
1970,0.783,0.322,0,"-15,091",0.0343,0.213,0.00243,0.77,"128,226",267773
1970,0.745,0.593,5,-12.33,0.0439,0.0523,0,0.888,"132,897",314800
